MasterID,Mag,Magerr,RA,Dec,MJD,Blend
3025043043551,16.890,0.129,94.91625,-24.69646,54802.62043,0
3025043043551,16.891,0.118,94.91630,-24.69648,54802.63263,0
3025043043551,17.063,0.125,94.91629,-24.69643,54802.64474,0
3025043043551,17.198,0.134,94.91628,-24.69645,54802.65687,0
3025043043551,17.339,0.154,94.91622,-24.69646,54521.54920,0
3025043043551,17.249,0.148,94.91634,-24.69652,54521.55982,0
3025043043551,17.156,0.144,94.91628,-24.69654,54521.57044,0
3025043043551,17.189,0.147,94.91630,-24.69659,54521.58107,0
3025043043551,17.209,0.176,94.91631,-24.69660,54492.55862,0
3025043043551,17.082,0.167,94.91629,-24.69645,54492.56926,0
3025043043551,17.048,0.165,94.91629,-24.69651,54492.57990,0
3025043043551,16.867,0.153,94.91619,-24.69645,54492.59056,0
3025043043551,16.854,0.126,94.91627,-24.69654,54532.48592,0
3025043043551,16.907,0.130,94.91631,-24.69647,54532.49246,0
3025043043551,17.021,0.138,94.91630,-24.69647,54532.49898,0
3025043043551,17.208,0.153,94.91632,-24.69649,54532.50552,0
3025043043551,17.286,0.175,94.91623,-24.69641,54594.39865,0
3025043043551,17.365,0.182,94.91615,-24.69653,54594.40478,0
3025043043551,17.219,0.171,94.91622,-24.69643,54594.41091,0
3025043043551,17.138,0.165,94.91629,-24.69653,54594.41706,0
3025043043551,16.742,0.126,94.91634,-24.69653,54600.35978,0
3025043043551,16.824,0.132,94.91626,-24.69650,54600.36571,0
3025043043551,16.769,0.128,94.91621,-24.69642,54600.37163,0
3025043043551,16.886,0.135,94.91625,-24.69638,54600.37757,0
3025043043551,16.896,0.115,94.91628,-24.69647,54767.71136,0
3025043043551,16.883,0.115,94.91629,-24.69648,54767.72360,0
3025043043551,16.986,0.120,94.91624,-24.69643,54767.73455,0
3025043043551,17.171,0.129,94.91625,-24.69638,54767.74534,0
3025043043551,17.085,0.155,94.91643,-24.69645,54729.73611,0
3025043043551,17.015,0.149,94.91628,-24.69642,54729.74552,0
3025043043551,17.042,0.150,94.91636,-24.69650,54729.75504,0
3025043043551,16.802,0.135,94.91624,-24.69653,54729.76481,0
3025043043551,16.925,0.104,94.91628,-24.69639,54925.44208,0
3025043043551,16.882,0.103,94.91633,-24.69647,54925.44989,0
3025043043551,17.147,0.114,94.91626,-24.69650,54925.45771,0
3025043043551,17.285,0.120,94.91632,-24.69646,54925.46556,0
3025043043551,16.931,0.114,94.91627,-24.69644,54941.40516,0
3025043043551,16.921,0.114,94.91626,-24.69642,54941.41261,0
3025043043551,16.833,0.111,94.91628,-24.69651,54941.42006,0
3025043043551,16.877,0.113,94.91617,-24.69648,54941.42751,0
3025043043551,16.949,0.117,94.91632,-24.69648,55170.66088,0
3025043043551,17.028,0.120,94.91637,-24.69647,55170.67324,0
3025043043551,17.285,0.133,94.91627,-24.69633,55170.68563,0
3025043043551,17.547,0.149,94.91624,-24.69622,55170.69794,0
3025043043551,16.844,0.110,94.91627,-24.69649,54887.47656,0
3025043043551,16.781,0.107,94.91628,-24.69647,54887.48299,0
3025043043551,16.804,0.109,94.91627,-24.69645,54887.48942,0
3025043043551,16.858,0.111,94.91629,-24.69648,54887.49585,0
3025043043551,16.925,0.137,94.91624,-24.69644,54862.57746,0
3025043043551,16.883,0.135,94.91623,-24.69658,54862.58547,0
3025043043551,16.966,0.141,94.91623,-24.69644,54862.59360,0
3025043043551,16.946,0.141,94.91617,-24.69648,54862.60164,0
3025043043551,17.112,0.149,94.91630,-24.69649,54904.41888,0
3025043043551,17.124,0.123,94.91630,-24.69640,54905.46546,0
3025043043551,16.839,0.110,94.91648,-24.69647,54905.47510,0
3025043043551,17.207,0.130,94.91639,-24.69642,54905.48471,0
3025043043551,17.246,0.133,94.91634,-24.69650,54905.49432,0
3025043043551,17.157,0.129,94.91626,-24.69653,54963.38027,0
3025043043551,17.197,0.132,94.91623,-24.69643,54963.38510,0
3025043043551,17.324,0.139,94.91632,-24.69648,54963.38997,0
3025043043551,17.518,0.152,94.91636,-24.69639,54963.39479,0
3025043043551,17.154,0.133,94.91632,-24.69650,55102.70134,0
3025043043551,16.948,0.121,94.91624,-24.69641,55102.71271,0
3025043043551,16.920,0.120,94.91629,-24.69649,55102.72419,0
3025043043551,16.857,0.116,94.91624,-24.69650,55102.73569,0
3025043043551,16.803,0.119,94.91631,-24.69643,55305.37430,0
3025043043551,16.942,0.119,94.91630,-24.69645,55244.53302,0
3025043043551,16.926,0.106,94.91624,-24.69648,55210.62742,0
3025043043551,17.120,0.115,94.91634,-24.69650,55210.65839,0
3025043043551,16.830,0.119,94.91623,-24.69642,55266.49219,0
3025043043551,17.083,0.161,94.91625,-24.69646,55326.36287,0
3025043043551,17.249,0.175,94.91629,-24.69644,55326.37998,0
3025043043551,17.031,0.125,94.91613,-24.69638,55613.46935,0
3025043043551,17.370,0.145,94.91621,-24.69647,55613.50126,0
3025043043551,16.817,0.104,94.91625,-24.69644,55569.60768,0
3025043043551,16.866,0.106,94.91627,-24.69650,55569.63315,0
3025043043551,17.260,0.138,94.91635,-24.69642,55586.53799,0
3025043043551,16.816,0.116,94.91632,-24.69647,55586.57330,0
3025043043551,16.882,0.119,94.91637,-24.69645,55648.47718,0
3025043043551,16.852,0.119,94.91627,-24.69649,55648.49490,0
3025043043551,16.721,0.111,94.91628,-24.69642,55686.39557,0
3025043043551,16.623,0.108,94.91629,-24.69654,55686.40986,0
3025043043551,17.089,0.120,94.91632,-24.69653,56003.43244,0
3025043043551,17.240,0.127,94.91630,-24.69652,56003.44317,0
3025043043551,17.136,0.122,94.91632,-24.69641,56003.45383,0
3025043043551,16.989,0.116,94.91640,-24.69642,56003.46460,0
3025043043551,16.909,0.115,94.91627,-24.69649,56042.37473,0
3025043043551,16.891,0.115,94.91629,-24.69649,56042.38420,0
3025043043551,16.835,0.112,94.91629,-24.69652,56042.39382,0
3025043043551,16.845,0.111,94.91629,-24.69647,56042.40349,0
3025043043551,16.875,0.098,94.91627,-24.69648,56294.58225,0
3025043043551,16.875,0.099,94.91631,-24.69651,56294.59359,0
3025043043551,16.854,0.098,94.91633,-24.69643,56294.60499,0
3025043043551,16.799,0.096,94.91626,-24.69641,56294.61650,0
3025043043551,17.034,0.138,94.91630,-24.69652,56362.46965,0
3025043043551,17.028,0.138,94.91629,-24.69647,56362.47745,0
3025043043551,16.941,0.134,94.91627,-24.69646,56362.48512,0
3025043043551,16.856,0.129,94.91634,-24.69650,56362.49285,0
3025043043551,16.897,0.109,94.91624,-24.69647,56392.46459,0
3025043043551,16.890,0.109,94.91631,-24.69648,56392.47167,0
3025043043551,16.823,0.106,94.91625,-24.69645,56392.47885,0
3025043043551,16.790,0.106,94.91630,-24.69646,56392.48611,0
3025043043551,16.972,0.111,94.91623,-24.69648,56422.38484,0
3025043043551,17.100,0.120,94.91629,-24.69643,56422.39198,0
3025043043551,17.261,0.128,94.91625,-24.69631,56422.39914,0
3025043043551,17.285,0.128,94.91618,-24.69646,56422.40635,0
3025043043551,17.195,0.117,94.91626,-24.69638,55210.63773,0
3025043043551,17.400,0.128,94.91597,-24.69639,55210.64806,0
3025043043551,16.883,0.117,94.91631,-24.69647,55244.54589,0
3025043043551,16.940,0.120,94.91626,-24.69644,55244.55866,0
