###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57391.353323  17.235  0.045   463   21 c  0   9.79  94.91624 -24.69652  6176.72  9472.93 3.97 3.88  86.1 -0.428 19.52 21.53 02a57391o0259c
57391.358030  17.606  0.064   329   21 c  0  10.82  94.91624 -24.69652  9340.72   908.51 4.58 3.69  19.1 -0.461 19.54 21.53 02a57391o0266c
57391.387256  17.408  0.043   395   17 c  0  13.83  94.91624 -24.69652  7312.80  8910.24 3.90 3.56  82.9 -0.425 19.62 21.62 02a57391o0311c
57392.345744  17.676  0.065   309   20 c  0  21.77  94.91624 -24.69652  6137.33  9295.08 4.59 4.26  88.4 -0.399 19.30 21.38 02a57392o0153c
57392.350408  18.305  0.150   173   26 c  0  17.96  94.91624 -24.69652  9284.87   717.83 5.18 4.19  19.0 -0.431 19.33 21.36 02a57392o0160c
57392.362916  18.396  0.174   159   28 c  0   6.82  94.91624 -24.69652  6971.98 10467.67 4.49 4.24  72.6 -0.391 19.37 21.40 02a57392o0179c
57392.379927  18.887  0.211   101   21 c  0  13.55  94.91624 -24.69652  7222.70  8697.51 4.66 4.24  80.3 -0.395 19.34 21.46 02a57392o0205c
57397.371402  17.227  0.040   467   19 c  0   9.28  94.91624 -24.69652  6064.38  9274.28 3.90 3.64  83.4 -0.422 19.61 21.62 02a57397o0271c
57397.385291  17.436  0.082   385   32 c  0   4.02  94.91624 -24.69652  9192.41   690.77 4.38 3.66  19.2 -0.461 19.64 21.69 02a57397o0288c
57397.388571  17.376  0.048   407   20 c  0  10.61  94.91624 -24.69652  6899.21 10450.86 4.08 3.89  70.8 -0.403 19.63 21.72 02a57397o0292c
57397.406737  17.746  0.060   290   17 c  0   9.48  94.91624 -24.69652  3366.27  1749.84 4.68 3.77 -17.8 -0.436 19.67 21.77 02a57397o0313c
57404.383585  16.951  0.047   602   28 o  0   2.10  94.91624 -24.69652  1985.93 10380.09 3.78 3.73 -87.6 -0.425 18.90 20.25 02a57404o0323o
57404.386017  17.191  0.077   483   37 o  0   2.26  94.91624 -24.69652  4282.95   625.09 4.57 3.36  -9.7 -0.532 18.95 20.31 02a57404o0327o
57404.403012  17.406  0.079   396   31 o  0   2.08  94.91624 -24.69652  4564.37  1219.39 4.37 3.43 -10.7 -0.533 18.96 20.34 02a57404o0355o
57404.417535  17.469  0.082   374   30 o  0   1.46  94.91624 -24.69652  1393.37  9783.05 3.84 3.62 -71.8 -0.453 18.94 20.32 02a57404o0379o
57404.419961  18.680  5.842   122  716 o  0   0.05  94.91624 -24.69652  3701.98    34.38 4.95 3.46 -14.1 -0.538 18.97 20.38 02a57404o0383o
57404.437146  17.230  0.066   466   31 o  0   2.43  94.91624 -24.69652  3419.61  1791.87 4.34 3.46 -20.4 -0.512 18.98 20.38 02a57404o0411o
57405.383672  17.620  0.082   325   27 o  0   2.21  94.91624 -24.69652  1986.63 10377.08 3.74 3.67  42.3 -0.439 18.80 20.05 02a57405o0297o
57405.386106  17.985  0.170   232   39 o  0   2.09  94.91624 -24.69652  4283.86   621.79 4.86 3.41  -6.9 -0.528 18.80 20.10 02a57405o0301o
57405.403051  17.376  0.095   407   39 o  0   2.34  94.91624 -24.69652  4563.26  1216.19 4.56 3.55 -10.2 -0.529 18.77 20.06 02a57405o0329o
57405.417648  16.930  0.058   614   36 o  0   1.62  94.91624 -24.69652  1392.45  9780.35 3.91 3.62 -71.6 -0.453 18.75 19.96 02a57405o0353o
57405.420090  15.833  0.594  1686 1002 o  0   0.03  94.91624 -24.69652  3702.19    31.25 4.87 3.37 -14.6 -0.495 18.80 20.02 02a57405o0357o
57405.437079  16.931  0.054   613   33 o  0   2.56  94.91624 -24.69652  3419.75  1787.98 4.57 3.63 -23.2 -0.494 18.73 19.99 02a57405o0385o
57406.355604  17.407  0.085   396   34 o  0   2.84  94.91624 -24.69652  7018.79  9498.01 3.81 3.54  79.9 -0.449 18.68 19.84 02a57406o0134o
57406.369909  17.723  0.156   296   46 o  0   3.20  94.91624 -24.69652  9604.16   340.88 4.93 3.69  22.2 -0.487 18.62 19.80 02a57406o0155o
57406.373321  17.299  0.102   437   44 o  0   1.57  94.91624 -24.69652  3425.80   607.60 4.71 3.40 -14.6 -0.535 18.69 19.85 02a57406o0160o
57406.401919  17.017  0.073   566   41 o  0   1.63  94.91624 -24.69652  4290.90  1794.15 4.31 3.52 -14.9 -0.503 18.69 19.86 02a57406o0203o
57406.404964  15.463  0.504  2371 1195 o  0   0.17  94.91624 -24.69652  4578.09    37.74 4.72 3.48 -11.6 -0.573 18.70 19.87 02a57406o0208o
57406.411460  16.981  0.072   586   42 o  0   1.45  94.91624 -24.69652  2309.35  9791.39 3.97 3.69 -66.5 -0.449 18.63 19.79 02a57406o0217o
57407.353070  17.023  0.074   563   42 o  0   2.23  94.91624 -24.69652  7016.96  9499.78 3.77 3.42  83.7 -0.473 18.56 19.57 02a57407o0268o
57407.367842  17.411  0.129   394   51 o  0   3.60  94.91624 -24.69652  9601.94   342.57 4.68 3.53  21.2 -0.493 18.53 19.54 02a57407o0290o
57407.371425  17.011  0.084   570   48 o  0   2.24  94.91624 -24.69652  3428.54   609.42 4.90 3.44 -11.5 -0.513 18.54 19.53 02a57407o0295o
57407.400213  17.421  0.119   390   47 o  0   1.79  94.91624 -24.69652  4291.34  1796.05 4.51 3.71 -15.5 -0.490 18.51 19.56 02a57407o0338o
57407.403940  15.303  0.610  2746 1675 o  0   0.11  94.91624 -24.69652  4577.89    40.07 5.05 3.64  -9.2 -0.541 18.53 19.55 02a57407o0344o
57407.409845  17.248  0.093   458   42 o  0   1.57  94.91624 -24.69652  2313.64  9792.59 3.99 3.74 -67.3 -0.443 18.50 19.53 02a57407o0352o
57410.352975  17.349  0.145   417   60 o  0   1.40  94.91624 -24.69652  3707.13  1205.55 4.51 3.51 -14.9 -0.533 18.20 18.87 02a57410o0267o
57410.369145  16.810  0.095   686   65 o  0   1.34  94.91624 -24.69652  1109.60 10368.80 4.25 3.99 -69.3 -0.428 18.09 18.83 02a57410o0290o
57410.372394  17.277  0.169   446   76 o  0   1.85  94.91624 -24.69652  3425.67   614.19 5.14 3.87 -17.1 -0.505 18.13 18.83 02a57410o0295o
57410.376070  16.884  0.093   640   60 o  0   1.52  94.91624 -24.69652  4289.48  1796.19 4.41 3.69 -14.8 -0.469 18.13 18.82 02a57410o0301o
57410.394007  16.732  0.085   737   62 o  0   1.39  94.91624 -24.69652  2312.86  9793.21 3.83 3.66 -77.2 -0.447 18.13 18.78 02a57410o0327o
57410.398022  14.501  0.596  5748 3423 o  0   0.11  94.91624 -24.69652  4578.85    39.29 4.80 3.51 -10.1 -0.539 18.13 18.77 02a57410o0333o
57411.345515  16.812  0.106   684   72 o  0   1.89  94.91624 -24.69652  7007.08  9504.79 3.79 3.38  84.2 -0.487 18.16 18.83 02a57411o0253o
57411.352607  17.091  0.153   529   81 o  0   1.32  94.91624 -24.69652  3419.51   613.24 4.93 3.29  -9.3 -0.564 18.17 18.80 02a57411o0264o
57411.355372  16.891  0.163   636  104 o  0   1.06  94.91624 -24.69652  9595.43   348.00 4.92 3.49  22.4 -0.540 18.12 18.81 02a57411o0268o
57411.377223  17.162  0.122   496   60 o  0   1.44  94.91624 -24.69652  4280.51  1795.46 4.32 3.41 -12.3 -0.544 18.17 18.80 02a57411o0301o
57411.394555  17.408  0.159   395   63 o  0   1.44  94.91624 -24.69652  2301.97  9791.10 3.92 3.66 -68.7 -0.451 18.14 18.75 02a57411o0327o
57411.401412  15.063  1.065  3426 3648 o  0   0.02  94.91624 -24.69652  4570.45    41.46 4.93 3.42  -9.8 -0.531 18.16 18.78 02a57411o0337o
57412.344786  17.205  0.122   476   58 o  0   1.94  94.91624 -24.69652  7007.26  9505.40 3.99 3.59  83.4 -0.469 18.33 19.29 02a57412o0202o
57412.351737  18.234  0.338   185   62 o  0   2.04  94.91624 -24.69652  3417.01   612.52 5.33 3.69 -13.4 -0.526 18.31 19.20 02a57412o0213o
57412.354504  18.314  0.425   172   73 o  0   1.65  94.91624 -24.69652  9595.06   347.12 4.86 3.55  21.3 -0.508 18.32 19.21 02a57412o0217o
57412.376398  17.866  0.208   259   54 o  0   1.80  94.91624 -24.69652  4281.99  1795.45 4.66 3.63 -13.5 -0.530 18.32 19.18 02a57412o0250o
57412.393831  17.180  0.120   488   58 o  0   1.50  94.91624 -24.69652  2301.53  9790.95 4.18 3.77 -65.3 -0.442 18.28 19.15 02a57412o0276o
57412.400647  15.333  0.972  2671 2596 o  0   0.01  94.91624 -24.69652  4570.36    42.21 5.48 3.85  -9.6 -0.542 18.28 19.20 02a57412o0286o
57416.334321  17.394  0.059   400   24 o  0   7.06  94.91624 -24.69652  6746.63  9270.41 3.73 3.48  80.6 -0.447 19.07 20.62 02a57416o0237o
57416.348789  17.624  0.102   324   33 o  0   1.88  94.91624 -24.69652  3694.90   852.55 4.65 3.47 -12.6 -0.532 19.11 20.62 02a57416o0258o
57416.365705  16.925  0.043   617   26 o  0   1.85  94.91624 -24.69652  2590.16 10011.44 3.67 3.66  50.4 -0.431 18.96 20.35 02a57416o0282o
57416.377816 -21.391 76.105   -10  768 o  0   0.01  94.91624 -24.69652  4578.71    43.14 4.66 3.41  -8.5 -0.540 18.97 20.33 02a57416o0299o
57416.379981  16.831  0.047   672   31 o  0   1.19  94.91624 -24.69652  2306.39  9792.85 3.74 3.59 -73.7 -0.445 18.91 20.25 02a57416o0302o
57417.332414  17.094  0.062   528   33 o  0   3.18  94.91624 -24.69652  3580.68   984.37 4.75 3.60 -13.5 -0.519 19.01 20.51 02a57417o0234o
57417.348405  17.048  0.062   551   34 o  0   3.22  94.91624 -24.69652  3288.59   396.45 4.85 3.53 -15.2 -0.532 19.06 20.55 02a57417o0256o
57417.361416  16.736  0.041   734   30 o  0   1.86  94.91624 -24.69652  2170.17  9571.71 3.79 3.62 -72.7 -0.444 19.06 20.56 02a57417o0273o
57417.376666  16.842  0.041   666   28 o  0   1.84  94.91624 -24.69652  2311.94  9789.52 3.79 3.67 -84.4 -0.447 19.06 20.58 02a57417o0293o
57423.322405  18.063  0.103   216   22 c  0   3.48  94.91624 -24.69652  3390.82  1035.17 4.59 3.76 -14.5 -0.466 19.47 21.41 02a57423o0184c
57423.335295  17.835  0.083   267   22 c  0   5.13  94.91624 -24.69652   808.38 10201.67 4.19 4.04  25.4 -0.399 19.44 21.40 02a57423o0204c
57423.337644  18.262  0.119   180   21 c  0   5.32  94.91624 -24.69652  3140.38   447.63 4.87 3.83 -16.0 -0.454 19.47 21.43 02a57423o0207c
57423.351130  17.483  0.050   369   18 c  0   4.66  94.91624 -24.69652  2057.94  9630.38 4.00 3.89  33.8 -0.401 19.46 21.42 02a57423o0228c
57429.306913  17.864  0.080   260   21 c  0   5.48  94.91624 -24.69652  3517.60  1081.42 5.05 3.83 -13.7 -0.496 19.55 21.62 02a57429o0234c
57429.319834  17.778  0.072   281   20 c  0   6.12  94.91624 -24.69652   936.42 10250.53 4.23 4.05 -37.1 -0.401 19.56 21.60 02a57429o0255c
57429.322318  18.842  0.215   106   23 c  0   9.21  94.91624 -24.69652  3267.67   497.43 5.47 3.96 -15.9 -0.475 19.54 21.61 02a57429o0259c
57429.335246  18.007  0.082   228   19 c  0   3.61  94.91624 -24.69652  2182.74  9678.85 4.14 3.96 -67.3 -0.409 19.52 21.57 02a57429o0280c
57429.351422  18.067  0.100   215   22 c  0   4.38  94.91624 -24.69652  2309.21  9760.61 4.12 3.99 -63.3 -0.398 19.51 21.55 02a57429o0305c
57430.307248  18.918  0.258    98   25 c  0   4.99  94.91624 -24.69652  3389.20   871.65 4.72 4.04 -18.2 -0.498 19.36 21.43 02a57430o0197c
57430.320206  17.579  0.060   338   20 c  0   7.39  94.91624 -24.69652   808.56 10039.66 4.30 3.99 -49.3 -0.405 19.23 21.28 02a57430o0218c
57430.322678  17.844  0.084   265   22 c  0   5.75  94.91624 -24.69652  3120.05   286.76 4.93 3.94 -20.7 -0.496 19.42 21.50 02a57430o0222c
57430.335612  17.479  0.056   370   21 c  0   3.54  94.91624 -24.69652  2038.10  9469.11 4.17 3.84 -78.4 -0.415 19.29 21.38 02a57430o0243c
57430.351007  17.430  0.056   387   22 c  0   2.79  94.91624 -24.69652  2295.30  9748.70 4.28 3.84 -81.4 -0.405 19.26 21.38 02a57430o0268c
57438.324276  16.789  0.070   699   49 o  0   1.52  94.91624 -24.69652  1124.76 10366.92 3.83 3.67  34.4 -0.468 18.32 19.17 02a57438o0175o
57438.326328  17.168  0.100   493   50 o  0   1.27  94.91624 -24.69652  3445.75   614.55 4.36 3.53 -16.0 -0.537 18.32 19.20 02a57438o0179o
57438.340197  16.854  0.074   658   49 o  0   1.18  94.91624 -24.69652  2326.71  9790.59 3.75 3.63  24.4 -0.440 18.30 19.13 02a57438o0206o
57438.342259  18.310 12.291   172 2117 o  0   0.00  94.91624 -24.69652  4594.57    42.57 4.40 3.47 -12.2 -0.556 18.31 19.15 02a57438o0210o
57438.355611  17.109  0.109   520   57 o  0   0.85  94.91624 -24.69652  2275.93  9771.14 3.76 3.69  33.0 -0.438 18.26 19.08 02a57438o0236o
